Height;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
1271;423602700;399448100;440553400;459395000;462181800;403400800;446761700;425228300;429293400;456224700;463262700;427102000;403459300;400135500;397145000;378331400;385809800;398947700;426710100;397088600;383072200;386991200;383553200;397636600;394694900
1281;391003600;402924400;413651000;462834600;448483600;457794200;466986000;452407900;457107700;424705700;427853700;404890500;434341800;440823100;406329100;440383200;405939100;433972200;459298800;430212200;432747600;471457300;423632000;437577800;419720700
1291;469321800;467115400;463029900;438354900;440204400;414489600;415625200;282440700;293060300;279216000;310630700;321139400;383765600;326965200;372702400;401401100;397589000;409268300;399506100;398061300;395675500;398352900;447863500;407771500;423190700
1301;420039400;447297000;432188300;416412500;419448600;413721600;416363300;430045500;403278700;421497100;400796600;411579000;408249000;400387000;404277600;399511400;416136700;410270200;404438400;413160400;409816600;418982800;432513400;424815500;421024000
1311;405930800;437193700;473489700;453914000;461295500;468944300;439966900;460520500;460376700;437996600;446650400;431962500;424784900;438037000;446413300;463330400;493581800;455858200;478378600;468697300;445457900;476409400;465078100;482418100;440000100
1321;462911000;450292400;444004000;424795600;426534200;445479300;419416200;438824900;424977100;426251800;443869700;438788800;458539400;458175500;485068300;439998100;476673700;434370900;453245400;447341500;437359600;421463300;430119800;428961100;443577700
1331;440484900;428308800;441897500;434825200;442208300;430529400;440189400;449631200;440346600;468543400;482589900;471210100;468643600;469976000;444032600;438029800;431528200;420979400;437755400;422687700;434115900;434757400;500169300;430397500;438337800
1341;434741600;485652800;487840600;480752100;471443700;457614800;486484300;496798400;494242800;463948800;497892300;455167600;435050400;468659400;448844600;487179200;471888600;479059100;483678200;473929700;474863800;486751700;497844100;487015300;488103400
1351;492150000;471463800;482317600;483391200;480257000;483488300;472213300;505211300;512203300;482788200;485380900;505741900;481670300;477512200;485397300;486303400;473678500;465317100;496812900;474644700;483411600;489120500;462514200;482405800;479761500
1361;491311600;487690700;493515300;491261300;471569900;513917400;469907900;485357300;485356500;468993600;490843200;467194300;487801800;534772700;509585900;502726700;485497300;448463600;464549400;459505800;446442000;453942400;449129600;453976400;449378400
1371;452626600;452306500;466553300;454161300;472873200;452732000;478235200;473145100;463600200;455916600;464935800;466830800;465542100;466645200;449398400;485456300;475581700;503326300;515014700;461719400;461516900;460544000;453071600;453640300;450657100
1381;464089200;460916200;462357000;464028300;452385500;458357000;459207300;487950400;454531200;451868600;454331600;457843900;451461800;457689900;460719700;455345400;466153800;457199500;460179800;458533000;468908800;464186000;477903800;458773900;525028500
1391;491088300;481482100;524418300;530173100;493631200;487362500;548417300;529596700;533780300;516945300;480275100;540099800;533482700;517216600;492141300;504413600;525265500;544325100;534137700;496075800;493481000;522356200;576358300;535176900;491572700
1401;556168700;538757100;535161100;517327700;506879100;510466200;479309500;549762400;548486900;557785900;476295300;502215000;540768000;498579300;474701300;479929200;478266900;483209400;476209700;473378200;479298000;484457800;490334100;523408400;493059600
1411;530939600;498545100;511916400;535586100;547571600;508293400;554234300;499287400;500029700;502913600;490595900;513581100;615726200;578786300;541693300;555469200;555322500;538927400;538547900;502589800;503357900;494855600;517564500;504462800;493799700
1421;489313100;492847800;491034300;488478300;484248700;482530900;490814800;487430200;483144600;483910700;494385800;507268400;519834600;530247600;494811300;310710400;358344100;297299300;441369300;403922300;351794000;346143700;365527100;478749900;535717600
1431;546548100;542126900;563092700;571107200;577106500;556884600;573923000;566483500;533056700;538662900;500189600;516579200;514656400;396937500;351808700;341198800;377872500;373996800;373561500;328920900;314056400;323458600;321920100;354650500;365515400
