Height;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
1031;290304300;285652600;283544800;266486100;281207100;302627300;276260500;272903400;261322100;258039300;245629700;240693000;250935700;270688500;250009600;264929500;262111300;252686800;242128600;263119200;242566400;253105700;242414900;260197700;236558400
1041;269733100;245197700;243618400;256455100;252049000;282777000;283445700;261730800;307971300;292649400;302543500;288602300;281377600;279399800;294963800;284734300;268073000;248380900;249966800;263824600;254796500;250800900;257735200;245080500;248169300
1051;276097700;281778800;281251700;308509400;296537100;320603900;306407900;302655400;335458900;266445100;316732800;326966100;196642000;134364900;154289800;154348000;154505500;149479600;137745700;129743300;138003500;145930300;123965200;139038900;141843500
1061;124669300;126174500;121120000;125180600;123387100;123971000;146894600;178533600;160755500;152626700;142733100;143447000;167401700;157736300;156919600;150020700;164881800;154639600;131794400;129564400;134210200;127681700;135704400;126593300;129375300
1071;128507900;130051400;135512000;138471000;138415300;129154300;135121100;131640700;131303700;153589100;142189800;132594500;140756800;147492500;214561700;184226500;178534000;193334800;201225900;194345700;182203900;169174900;157426300;162348000;165616500
1081;170731500;177422300;184120600;169970800;207433400;191115700;177072100;182726300;177384200;194822600;213364600;186372500;215514300;200172800;184229300;172211000;175647500;163991600;179090900;171773100;167789100;189560500;166270300;167277000;171105100
1091;189765600;166842600;139971600;154537000;158534800;157510300;157308600;152734800;164298200;148576800;161360800;148787300;136185900;135225200;153173100;160355900;147005600;160342600;147247600;153705200;177307100;159109300;156765000;158812300;159205100
1101;147750800;157991800;149505700;161136500;176709400;144450900;140069600;138341700;147805700;170980000;167886500;162053100;179940700;200202000;174415300;199492900;164192900;222075600;230014500;187149900;368623700;239600100;207835900;333676000;303379700
1111;206342100;214006700;207516000;199617500;174805100;167182300;166668500;171767400;159627600;177143500;171365900;152479700;156067900;165525600;172978400;178484400;183892700;190185100;183065800;177302900;205617200;263939900;307474300;203296700;179313100
1121;175551800;166809800;216455300;207316800;197637400;198698200;166114100;165276800;168328300;148915800;147827400;147575100;148479100;159487800;171955900;154685500;152738600;156244300;155263500;152378200;154959300;151350400;149472600;150975900;155010300
1131;149947000;150895500;150018800;149382600;149453200;149069100;150523300;150230800;149862100;151122800;151135100;150424400;151184000;155201400;152834100;151126700;149326000;148248300;150030200;149972700;149693100;149717100;147986200;148357900;150196400
1141;152497200;153906900;152747100;156858200;154694700;154107200;153876500;152217300;152980900;151573200;151033000;151534400;151276200;155034600;153783200;152987800;153338000;152419700;153016400;153086500;155033800;155940100;155776600;153683300;151851400
1151;173291600;154279900;154556700;154113600;154906700;153120100;154639300;153449800;155082500;155033400;154976300;160882300;157733000;156179200;155662100;155066300;154236300;154465200;151962000;152085700;154480600;154709400;153810600;153229800;155777500
1161;161145400;159038500;162691800;158812600;161598800;161612600;159107500;157769200;158178700;160098200;159437600;157994800;158120900;157846100;160180600;159514500;159994500;159420300;161070500;161965800;159754900;160738600;159424800;159686200;158325700
1171;162821200;162168400;160385000;160807000;166341400;163737100;162825500;163502600;162338400;164520100;161423200;160694000;161105900;161240600;161336300;161755000;160553200;160041700;161980300;160857100;160992800;162231700;161950100;160935800;161559400
1181;166712600;166198200;168724200;163068800;162530700;162410800;164890100;161641300;165036200;163830000;164123000;161443900;163226800;163564800;164167400;167938400;165735400;163912200;171979000;163256200;163391100;164929600;161641700;161575700;166161800
1191;166574700;172635700;166567400;168170700;168712200;167906600;166978400;169700300;166713100;167070900;164287800;164542200;166850700;169504800;168486800;165204500;162970200;165440300;168427500;168863100;168608700;166757500;168913900;170481800;167968600
1201;169685600;169011600;167136200;169013300;168195000;168208000;168605700;179898900;170377600;169234300;170725200;170995000;170938500;173419300;169462500;169316700;168008000;169178400;168516400;168667900;167123700;167382700;168263000;170658600;170502300
1211;172193600;172855200;177133800;173284100;172111200;170404700;169177300;169171600;170166900;170987700;172231900;171838000;169690100;171575900;170352100;173387200;174994800;171489000;173388100;173814200;172339200;173943400;175392100;175184100;177640600
1221;175835800;177538600;178323800;180080900;181963800;177602600;177765300;178206800;177242000;174771100;177513300;176663600;175681600;177203500;175595900;176599300;176503600;182811100;177715000;177898200;176168900;177762500;180721200;177416300;176838200
1231;178229500;177868500;176158700;177090500;179264800;179405100;179638200;178796300;179338000;180015300;178881100;177487500;178202200;190080300;212463300;217613000;206826400;208506100;214284700;214541800;209946100;222340800;198270800;205964900;218410600
1241;237118800;251580000;208492700;186717100;256097000;354267000;351443100;324980200;312497500;332956300;327579100;334206600;314443400;333431200;341139100;346168100;341501400;306441400;315249800;315810300;331458700;324282200;309079100;329205700;323923700
1251;327564500;344924100;326852200;359730300;341902800;340118900;361187300;321759500;328524800;331267800;338988600;362630900;332842200;349790000;340936000;337906600;322620100;320690700;321689700;329604700;325436800;327485400;319469700;314539200;316458700
1261;341283500;343687000;346493200;345513500;352786700;339404100;338754900;329099300;352736900;338713900;377483200;358460800;414596500;354354100;399469300;379864900;356517300;350962100;327692600;327895000;321992300;321470300;328247100;328658600;330795800
1271;329105700;328728100;373973800;362312200;353454400;361870000;372705600;342132000;331848100;324301000;334254000;365213400;361615700;371834400;355916400;361653800;344782000;395956300;371028700;348247000;339991800;340039000;333043000;343704400;343549300
1281;406557200;374926300;389144800;387562600;358914800;350874800;330477400;327172300;329062800;333159500;340642500;334549700;337661100;330395100;328083700;329439000;331462600;338157200;347841300;335394600;340674900;333831100;337291300;332018200;334170100
1291;350431500;344262700;351921000;337661800;343212800;339893500;339451600;354886200;371471500;340432600;347667600;354415400;356502300;348766900;345365600;359541500;363364200;383569800;353046400;349833500;349743200;367896200;365165400;357002000;397965100
1301;352999300;350613500;346055200;345190400;350196000;357798600;364485400;353443800;385809900;377326000;361399700;376788600;366809400;371943500;355010100;371268900;380171800;385052200;400000900;387546400;401047300;382656200;350357400;373229200;367717700
1311;363843600;363326500;358770000;347898300;347332500;362845100;360684300;367627000;363687800;351349200;344656700;353372000;348301300;388073900;382351700;389170000;365760200;352755600;354704300;359660200;377690500;438846600;380017900;406635900;367914300
1321;419754100;357310600;369074100;358409700;356992300;365183400;363880600;357236600;387582200;387296500;380770900;369063100;352370800;374710800;361423100;358097200;364845800;365639400;369883200;406466300;371561400;365643000;369175700;409605400;366841000
1331;391841200;363878200;357572000;381133500;375455000;388800300;379368700;357451200;354271300;356047800;356929100;365271500;364357300;360533100;356091300;354391600;358656100;357383800;366024900;389396400;364829400;360157200;356475200;352621900;352949800
1341;375458200;369434600;373402100;386952500;380136600;396027400;405489500;421958800;407885600;390605400;384983700;365096700;368482400;382659900;375589700;470637700;439421800;448220600;412667600;404174400;435598100;391508300;370884700;424501300;395547100
1351;404994600;398824400;392734600;399104500;388880600;393546700;402307600;382082700;406626300;419120700;375304400;375830900;374971000;403291200;452614000;440865400;397517400;374371500;374622700;379026400;389624100;396029000;376870900;373317400;373582300
1361;372400300;383556600;386130900;418485600;415257500;438311500;466154600;403868600;385218100;401049200;385745200;380703200;378014300;385964600;416135700;451492300;380960000;394815300;374855900;375180800;381791400;387089000;384235000;418548000;399321300
1371;398147200;391934100;443991000;391513200;398075200;404045600;427677900;422663200;452447000;406858400;400674600;424469600;381364300;382073700;399842400;394977000;389522700;402762300;389710200;381614600;408658900;403253300;419715200;398325800;404870100
